iter	RMSE
0	677.7285389
1	662.3567601
2	648.7542887
3	635.8415191
4	621.550823
5	609.9157437
6	597.1617439
7	585.4321207
8	574.6193527
9	564.4258595
10	554.4568335
11	543.9665867
12	534.4565117
13	525.1457771
14	517.0027782
15	509.630135
16	502.1574629
17	493.751752
18	486.9254243
19	480.4722053
20	473.6224791
21	467.8951163
22	462.1343375
23	456.653718
24	451.0735337
25	445.1835182
26	439.4384222
27	435.658632
28	430.7186021
29	425.7171304
30	421.5379942
31	417.5733334
32	412.5967223
33	408.6224537
34	405.5015615
35	401.9330291
36	398.0774616
37	394.5174153
38	390.9656998
39	388.1042577
40	385.1556971
41	382.3851995
42	379.8414248
43	377.2326376
44	374.4200955
45	372.2464773
46	370.0136105
47	367.8702168
48	365.2419566
49	362.9863664
50	360.8039547
51	358.6004365
52	356.5761645
53	354.7293246
54	352.6280234
55	351.2348965
56	349.8221937
57	348.0484892
58	346.3354306
59	344.7980233
60	343.0220385
61	341.3835568
62	340.4863116
63	338.8796983
64	337.5062891
65	335.9416957
66	334.6038918
67	333.4341048
68	332.0954499
69	330.8525274
70	329.9265719
71	329.0070426
72	327.5568707
73	326.1173436
74	325.3473689
75	324.2305486
76	323.2198196
77	322.3619124
78	321.497687
79	320.7542519
80	320.0479725
81	319.3777517
82	318.4267667
83	317.294229
84	316.5421383
85	315.1780552
86	314.3121088
87	313.4104515
88	312.5041071
89	312.0922283
90	311.1781313
91	310.3384897
92	310.114481
93	309.8476905
94	308.9208204
95	308.2348592
96	307.5767004
97	307.1784322
98	306.165931
99	305.838447
100	305.0667264
101	304.6656236
102	303.9110288
103	303.0114457
104	302.5677931
105	301.7668057
106	301.2866039
107	300.6789686
108	299.9149522
109	299.2795907
110	299.0739565
111	298.4014746
112	297.8103337
113	297.23723
114	296.7710236
115	296.311521
116	296.1281715
117	295.2486039
118	294.6321445
119	293.9011372
120	293.2981818
121	292.9286407
122	292.5185727
123	291.9926397
124	291.4947762
125	291.0229218
126	290.8297827
127	290.632444
128	290.1866966
129	289.6287113
130	289.4479804
131	288.9349931
132	288.5661958
133	288.3364175
134	287.7964266
135	287.1824333
136	286.7520564
137	286.2297594
138	286.0114365
139	285.4624639
140	284.9951928
141	284.7478158
142	284.5081987
143	283.889372
144	283.7544431
145	283.3048742
146	283.125427
147	282.7773473
148	282.2148698
149	281.5917569
150	281.2843426
151	280.8844924
152	280.4492884
153	280.2799836
154	280.0824004
155	279.9520776
156	279.8147814
157	279.4936077
158	279.361757
159	278.706297
160	278.4885989
161	278.165309
162	278.0131937
163	277.8261033
164	277.4319824
165	277.0796519
166	276.7418486
167	276.4084261
168	276.1143886
169	275.7376919
170	275.5430415
171	275.0207836
172	274.7783925
173	274.5507628
174	274.4009823
175	274.2466002
176	273.8300133
177	273.4149722
178	272.9330213
179	272.6836131
180	272.4449109
181	272.2371714
182	271.8780685
183	271.3843001
184	270.8572474
185	270.5368571
186	270.2266475
187	269.9121024
188	269.6502704
189	269.3568297
190	269.1136498
191	268.8672412
192	268.4651123
193	268.1623875
194	267.9328549
195	267.7364956
196	267.5633304
197	267.2648412
198	266.9136993
199	266.3287158
200	266.1263951
