Company,Product,Inches,Memory,Gpu,OpSys,Price_euros,height,width,Clock,Weight_in_kg
Apple,MacBook Pro,13.3,8,Intel Iris Plus Graphics 640,macOS,1339.69,1600,2560,2.3,1.37
Apple,Macbook Air,13.3,8,Intel HD Graphics 6000,macOS,898.94,900,1440,1.8,1.34
HP,250 G6,15.6,8,Intel HD Graphics 620,No OS,575.0,1080,1920,2.5,1.86
Apple,MacBook Pro,15.4,16,AMD Radeon Pro 455,macOS,2537.45,1800,2880,2.7,1.83
Apple,MacBook Pro,13.3,8,Intel Iris Plus Graphics 650,macOS,1803.6,1600,2560,3.1,1.37
Acer,Aspire 3,15.6,4,AMD Radeon R5,Windows 10,400.0,768,1366,3.0,2.1
Apple,MacBook Pro,15.4,16,Intel Iris Pro Graphics,Mac OS X,2139.97,1800,2880,2.2,2.04
Apple,Macbook Air,13.3,8,Intel HD Graphics 6000,macOS,1158.7,900,1440,1.8,1.34
Asus,ZenBook UX430UN,14.0,16,Nvidia GeForce MX150,Windows 10,1495.0,1080,1920,1.8,1.3
Acer,Swift 3,14.0,8,Intel UHD Graphics 620,Windows 10,770.0,1080,1920,1.6,1.6
HP,250 G6,15.6,4,Intel HD Graphics 620,No OS,393.9,768,1366,2.5,1.86
HP,250 G6,15.6,4,Intel HD Graphics 520,No OS,344.99,1080,1920,2.0,1.86
Apple,MacBook Pro,15.4,16,AMD Radeon Pro 555,macOS,2439.97,1800,2880,2.8,1.83
Dell,Inspiron 3567,15.6,4,AMD Radeon R5 M430,Windows 10,498.9,1080,1920,2.0,2.2
Apple,"MacBook 12""",12.0,8,Intel HD Graphics 615,macOS,1262.4,1440,2304,1.2,0.92
Apple,MacBook Pro,13.3,8,Intel Iris Plus Graphics 640,macOS,1518.55,1600,2560,2.3,1.37
Dell,Inspiron 3567,15.6,8,AMD Radeon R5 M430,Windows 10,745.0,1080,1920,2.7,2.2
Apple,MacBook Pro,15.4,16,AMD Radeon Pro 560,macOS,2858.0,1800,2880,2.9,1.83
Lenovo,IdeaPad 320-15IKB,15.6,8,Nvidia GeForce 940MX,No OS,499.0,1080,1920,2.4,2.2
Dell,XPS 13,13.3,8,Intel UHD Graphics 620,Windows 10,979.0,1080,1920,1.6,1.22
Asus,Vivobook E200HA,11.6,2,Intel HD Graphics 400,Windows 10,191.9,768,1366,1.44,0.98
Lenovo,Legion Y520-15IKBN,15.6,8,Nvidia GeForce GTX 1050,Windows 10,999.0,1080,1920,2.5,2.5
HP,255 G6,15.6,4,AMD Radeon R2,No OS,258.0,768,1366,1.5,1.86
Dell,Inspiron 5379,13.3,8,Intel UHD Graphics 620,Windows 10,819.0,1080,1920,1.6,1.62
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),15.6,8,Intel HD Graphics 620,Windows 10,659.0,1080,1920,1.8,1.91
Dell,Inspiron 3567,15.6,4,Intel HD Graphics 520,Windows 10,418.64,768,1366,2.0,2.3
Apple,MacBook Air,13.3,8,Intel HD Graphics 6000,Mac OS X,1099.0,900,1440,1.6,1.35
Dell,Inspiron 5570,15.6,8,AMD Radeon 530,Windows 10,800.0,1080,1920,1.6,2.2
Dell,Latitude 5590,15.6,8,Intel UHD Graphics 620,Windows 10,1298.0,1080,1920,1.9,1.88
HP,ProBook 470,17.3,8,Nvidia GeForce 930MX,Windows 10,896.0,1080,1920,1.6,2.5
Chuwi,"LapBook 15.6""",15.6,4,Intel HD Graphics,Windows 10,244.99,1080,1920,1.44,1.89
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),14.0,2,AMD Radeon R2,Windows 10,199.0,768,1366,1.5,1.65
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,17.3,4,AMD Radeon 530,Windows 10,439.0,1080,1920,2.5,2.71
Dell,XPS 13,13.3,16,Intel UHD Graphics 620,Windows 10,1869.0,1800,3200,1.8,1.2
Apple,MacBook Air,13.3,8,Intel HD Graphics 6000,Mac OS X,998.0,900,1440,1.6,1.35
Lenovo,IdeaPad 120S-14IAP,14.0,4,Intel HD Graphics 500,Windows 10,249.0,768,1366,1.1,1.44
Acer,Aspire 3,15.6,4,Intel HD Graphics 620,Linux,367.0,768,1366,2.7,2.1
Dell,Inspiron 5770,17.3,8,AMD Radeon 530,Windows 10,979.0,1080,1920,1.6,2.8
HP,250 G6,15.6,4,Intel HD Graphics 620,Windows 10,488.69,768,1366,2.5,1.86
HP,ProBook 450,15.6,8,Nvidia GeForce 930MX ,Windows 10,879.0,1080,1920,1.6,2.1
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),15.6,4,Intel HD Graphics 620,Linux,389.0,1080,1920,2.0,2.0
Dell,Inspiron 7577,15.6,16,Nvidia GeForce GTX 1060,Windows 10,1499.0,1080,1920,2.8,2.65
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,15.6,8,Nvidia GeForce 940MX,Linux,522.99,768,1366,2.5,2.3
Acer,Aspire A515-51G,15.6,4,Intel UHD Graphics 620,Windows 10,682.0,1080,1920,1.6,2.2
Dell,Inspiron 7773,17.3,12,Nvidia GeForce 150MX,Windows 10,999.0,1080,1920,1.6,2.77
Apple,MacBook Pro,13.3,8,Intel Iris Graphics 540,macOS,1419.0,1600,2560,2.0,1.37
Lenovo,IdeaPad 320-15ISK,15.6,4,Intel HD Graphics 520,No OS,369.0,768,1366,2.0,2.2
Asus,Rog Strix,17.3,8,AMD Radeon RX 580,Windows 10,1299.0,1080,1920,3.0,3.2
Dell,Inspiron 3567,15.6,4,AMD Radeon R5 M430,Windows 10,639.0,1080,1920,2.5,2.3
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,17.3,4,Nvidia GeForce 920MX,Windows 10,466.0,768,1366,1.1,2.8
Lenovo,Yoga Book,10.1,4,Intel HD Graphics 400,Android,319.0,1200,1920,1.44,0.69
Acer,Aspire A515-51G,15.6,8,Nvidia GeForce MX150,Windows 10,841.0,1080,1920,1.8,2.2
HP,255 G6,15.6,4,AMD Radeon R4 Graphics,Windows 10,398.49,1080,1920,2.5,1.86
HP,ProBook 430,13.3,8,Intel UHD Graphics 620,Windows 10,1103.0,1080,1920,1.8,1.49
Acer,Aspire 3,15.6,4,Intel HD Graphics 620,Windows 10,384.0,768,1366,2.4,2.4
Dell,Inspiron 3576,15.6,8,AMD Radeon 520,Windows 10,767.8,1080,1920,1.8,2.13
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),15.6,4,Intel HD Graphics 520,Windows 10,439.0,1080,1920,2.0,1.91
Asus,VivoBook Max,15.6,4,Intel HD Graphics 620,Windows 10,586.19,768,1366,2.5,2.0
MSI,GS73VR 7RG,17.3,16,Nvidia GeForce GTX 1070,Windows 10,2449.0,1080,1920,2.8,2.43
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),15.6,4,Intel HD Graphics 520,Linux,415.0,1080,1920,2.0,2.0
Dell,Inspiron 5770,17.3,16,AMD Radeon 530,Windows 10,1299.0,1080,1920,1.8,2.8
Dell,Vostro 5471,14.0,8,Intel UHD Graphics 620,Windows 10,879.0,1080,1920,1.6,1.7
Lenovo,IdeaPad 520S-14IKB,14.0,8,Intel HD Graphics 620,No OS,599.0,1080,1920,2.7,1.7
