Company,Inches,Memory,OpSys,Price_euros,height,width,Clock,Weight_in_kg
HP,15.6,4,No OS,393.9,768,1366,2.5,1.86
Asus,15.6,4,Windows 10,344.0,1080,1920,1.1,2.0
HP,15.6,6,Windows 10,764.0,768,1366,2.5,2.19
Dell,15.6,16,Windows 10,1099.0,2160,3840,2.6,2.72
Razer,12.5,16,Windows 10,1799.0,2160,3840,2.5,1.29
Dell,14.0,8,Windows 10,1279.73,1080,1920,2.6,1.64
Google,12.3,8,Chrome OS,1559.0,1600,2400,1.2,1.1
LG,15.6,8,Windows 10,2299.0,1080,1920,1.8,1.09
Dell,13.3,8,Windows 10,869.01,1080,1920,1.8,1.62
MSI,17.3,16,Windows 10,2415.0,1080,1920,2.8,2.9
Asus,17.3,64,Windows 10,3975.0,1080,1920,2.7,3.58
HP,14.0,8,Windows 10,988.0,1080,1920,1.8,1.63
Acer,13.3,4,Windows 10,655.0,768,1366,2.3,1.6
Dell,12.5,8,Windows 7,1413.1,768,1366,2.3,1.5
Dell,17.3,16,Windows 10,2699.0,1080,1920,2.8,4.42
Dell,15.6,4,Windows 7,769.15,768,1366,2.3,2.24
Apple,12.0,8,Mac OS X,1279.0,1440,2304,1.2,0.92
Dell,15.6,8,Windows 10,1049.0,1080,1920,1.8,1.56
Asus,15.6,8,Windows 10,1655.0,1080,1920,2.8,2.3
Lenovo,13.3,16,Windows 10,1499.0,1800,3200,2.5,1.3
Asus,14.0,8,Windows 10,1094.0,1080,1920,2.7,2.0
Asus,14.0,8,Windows 10,945.0,1080,1920,2.5,2.0
Asus,15.6,8,Windows 10,590.0,1080,1920,2.5,2.3
Dell,15.6,8,Windows 10,789.81,1080,1920,2.5,2.18
Lenovo,13.3,4,Windows 10,735.0,1080,1920,2.4,1.44
Dell,15.6,8,Linux,599.9,1080,1920,2.7,2.2
Lenovo,15.6,12,Windows 10,609.0,768,1366,1.8,2.2
Lenovo,17.3,16,Windows 10,2749.99,1080,1920,2.7,4.6
Acer,11.6,4,Windows 10,435.0,768,1366,1.6,1.4
Asus,17.3,8,Windows 10,1695.0,1080,1920,3.2,3.2
Lenovo,14.0,4,Windows 10,629.0,1080,1920,2.4,1.74
Lenovo,12.5,8,Windows 10,1429.0,1080,1920,2.5,1.36
Dell,15.6,16,Windows 10,989.99,1080,1920,2.7,2.32
HP,13.3,16,Windows 10,2449.0,2160,3840,1.8,1.29
HP,15.6,4,Windows 10,469.0,1080,1920,2.0,1.86
Lenovo,17.3,4,Windows 10,379.0,900,1600,2.2,2.8
Asus,15.6,16,Windows 10,1899.0,1080,1920,2.8,2.1
HP,14.0,8,Windows 7,1513.0,1080,1920,2.3,1.43
Lenovo,15.6,8,Windows 10,2090.0,1080,1920,2.9,2.67
HP,13.3,8,Windows 10,1349.0,1080,1920,2.7,1.11
